timestamp,produced_energy,consumed_energy,battery_charged_energy,battery_discharged_energy,grid_feedin_energy,grid_purchase_energy
2022-09-23T00:00:00+02:00,34100,7652,7153,4395,24156,467
2022-09-24T00:00:00+02:00,19281,10460,4353,4760,9764,535
2022-09-25T00:00:00+02:00,11031,9177,6321,4117,273,623
2022-09-26T00:00:00+02:00,21751,10661,8050,5034,8657,583
2022-09-27T00:00:00+02:00,13614,9830,5127,4309,3588,623
2022-09-28T00:00:00+02:00,22299,10911,3975,6792,14852,646
2022-09-29T00:00:00+02:00,18955,5829,9507,4143,8268,506
2022-09-30T00:00:00+02:00,31616,12980,5809,6749,20101,525
2022-10-01T00:00:00+02:00,3116,6421,1474,4313,171,636
2022-10-02T00:00:00+02:00,4247,10247,1669,1842,150,5978
2022-10-03T00:00:00+02:00,20959,13826,11968,6283,3376,1928
2022-10-04T00:00:00+02:00,32494,10000,8812,5331,19523,510
2022-10-05T00:00:00+02:00,33878,9404,8305,4998,21689,521
2022-10-06T00:00:00+02:00,32302,8802,5518,6503,25063,578
2022-10-07T00:00:00+02:00,24861,7590,7182,3823,14426,514
2022-10-08T00:00:00+02:00,20564,8697,4581,3606,11466,573
2022-10-09T00:00:00+02:00,39240,6363,3489,2884,32722,449
2022-10-10T00:00:00+02:00,30275,7972,5266,5225,22825,563
2022-10-11T00:00:00+02:00,25430,11216,7510,7757,15068,606
2022-10-12T00:00:00+02:00,21394,7329,8449,3813,9910,481
2022-10-13T00:00:00+02:00,8491,7317,3599,5117,3351,660
2022-10-14T00:00:00+02:00,4902,8551,2541,5702,164,652
2022-10-15T00:00:00+02:00,4723,4950,2754,2581,170,569
2022-10-16T00:00:00+02:00,17380,10162,10941,3462,558,818
2022-10-17T00:00:00+02:00,29859,7372,5606,3844,21251,527
2022-10-18T00:00:00+02:00,20265,5677,5030,4173,14284,552
2022-10-19T00:00:00+02:00,11379,6352,4299,3347,4595,520
2022-10-20T00:00:00+02:00,12691,8951,6955,6859,4274,629
2022-10-21T00:00:00+02:00,5145,9237,3829,7409,192,705
2022-10-22T00:00:00+02:00,26463,9686,10715,2867,9754,825
2022-10-23T00:00:00+02:00,19587,9597,4109,3304,9776,590
2022-10-24T00:00:00+02:00,10997,8519,7689,6250,1687,648
2022-10-25T00:00:00+02:00,19888,7232,5180,5511,13542,555
2022-10-26T00:00:00+02:00,19045,9628,7879,6923,9152,691
2022-10-27T00:00:00+02:00,29877,7295,7568,6001,21535,519
2022-10-28T00:00:00+02:00,14126,9306,7151,5108,3402,625
2022-10-29T00:00:00+02:00,18372,9946,5416,4401,8027,616
2022-10-30T00:00:00+02:00,24353,7419,5127,3489,15821,525
2022-10-31T00:00:00+01:00,16029,7774,4831,2561,6515,531
2022-11-01T00:00:00+01:00,16136,5328,3115,2742,10962,527
2022-11-02T00:00:00+01:00,21898,10427,5613,6360,12758,540
2022-11-03T00:00:00+01:00,9897,9154,6226,5723,838,597
2022-11-04T00:00:00+01:00,8233,11640,5273,8209,206,677
2022-11-05T00:00:00+01:00,10560,7490,7951,3796,527,1612
2022-11-06T00:00:00+01:00,18218,9223,8665,4182,5082,570
2022-11-07T00:00:00+01:00,4657,9466,3003,7311,167,668
2022-11-08T00:00:00+01:00,17237,7885,11043,4990,4869,1569
2022-11-09T00:00:00+01:00,9453,8926,6510,7192,1865,656
2022-11-10T00:00:00+01:00,26758,6895,8782,5156,16875,639
2022-11-11T00:00:00+01:00,20351,14763,8919,10889,8214,657
2022-11-12T00:00:00+01:00,13135,12001,9767,7958,192,867
2022-11-13T00:00:00+01:00,26262,7132,8895,3990,14819,594
2022-11-14T00:00:00+01:00,3642,8252,2093,6161,142,685
2022-11-15T00:00:00+01:00,6515,9902,4013,3703,175,3872
2022-11-16T00:00:00+01:00,13635,7904,10574,3184,1586,3245
2022-11-17T00:00:00+01:00,4907,6619,4209,5422,204,704
2022-11-18T00:00:00+01:00,3893,7979,1785,4496,134,1509
2022-11-19T00:00:00+01:00,943,9391,432,0,44,8924
2022-11-20T00:00:00+01:00,4173,9475,2511,1710,144,6248
2022-11-21T00:00:00+01:00,12505,7172,10621,3455,1046,2879
2022-11-22T00:00:00+01:00,7013,7781,5609,5916,153,616
2022-11-23T00:00:00+01:00,24375,6493,7908,5315,15873,585
2022-11-24T00:00:00+01:00,12880,9694,8566,7961,3318,737
2022-11-25T00:00:00+01:00,2899,8173,2154,5793,211,1846
2022-11-26T00:00:00+01:00,3882,12043,1863,1235,147,8936
2022-11-27T00:00:00+01:00,15911,10307,10670,5684,1897,1279
2022-11-28T00:00:00+01:00,3787,9606,1793,4379,125,3357
2022-11-29T00:00:00+01:00,3134,7761,1811,1084,129,5482
2022-11-30T00:00:00+01:00,2742,6007,1587,888,156,4120
2022-12-01T00:00:00+01:00,2654,9160,2099,1320,189,7474
2022-12-02T00:00:00+01:00,957,9241,516,0,85,8885
2022-12-03T00:00:00+01:00,2323,9269,1109,474,101,7681
2022-12-04T00:00:00+01:00,704,11655,409,0,1,11360
2022-12-05T00:00:00+01:00,1453,8959,1115,324,100,8396
2022-12-06T00:00:00+01:00,2193,8968,1338,678,134,7568
2022-12-07T00:00:00+01:00,3321,9572,2584,1801,147,7181
2022-12-08T00:00:00+01:00,3575,7865,2809,1932,189,5356
2022-12-09T00:00:00+01:00,8861,8430,6650,3239,132,3112
2022-12-10T00:00:00+01:00,6878,6677,5850,4796,164,1017
2022-12-11T00:00:00+01:00,243,5120,45,1572,9,3360
2022-12-12T00:00:00+01:00,6134,9387,4635,2092,137,5933
2022-12-13T00:00:00+01:00,11526,6730,9066,3852,181,599
2022-12-14T00:00:00+01:00,230,9093,21,4513,2,4373
